Epoch,Train Accuracy (%),Train Loss,Val Accuracy (%),Val Loss,Test Accuracy (%),Test Loss
1,74.92,0.6719,74.03,0.6198,,
2,81.8,0.4521,80.15,0.4587,,
3,83.36,0.4182,78.74,0.4744,,
4,83.67,0.4037,76.18,0.5565,,
5,85.12,0.3672,81.89,0.3995,,
6,85.14,0.3661,80.89,0.4422,,
7,85.7,0.3544,80.81,0.4205,,
8,86.83,0.3401,81.22,0.4238,,
9,86.15,0.342,79.65,0.4464,,
10,86.89,0.3325,77.42,0.495,,
11,86.56,0.327,80.48,0.4311,,
12,86.56,0.3279,81.56,0.4182,,
13,86.09,0.3419,81.39,0.4071,,
14,87.22,0.317,83.37,0.3874,,
15,86.91,0.3229,80.48,0.4439,,
16,87.14,0.3206,80.98,0.3972,,
17,86.65,0.329,80.31,0.4441,,
18,87.39,0.3147,83.71,0.3793,,
19,87.7,0.3116,76.01,0.5426,,
20,87.72,0.3148,82.8,0.4007,,
21,87.86,0.3019,79.57,0.4769,,
22,87.8,0.3108,79.9,0.4341,,
23,88.05,0.3001,82.13,0.4159,,
24,87.45,0.3155,82.13,0.4107,,
25,87.72,0.306,81.89,0.4115,,
26,88.26,0.2976,79.07,0.498,,
27,88.36,0.3008,81.31,0.4357,,
28,87.8,0.3188,79.49,0.4746,,
29,88.03,0.2863,78.41,0.4996,,
30,87.86,0.3005,80.89,0.4295,,
31,87.93,0.2956,81.89,0.4181,,
32,88.21,0.2888,79.98,0.4515,,
33,87.7,0.2965,79.16,0.4866,,
34,87.97,0.2961,80.31,0.4622,,
35,87.99,0.2903,82.3,0.4307,,
36,88.69,0.2845,78.74,0.5029,,
37,88.57,0.2879,81.97,0.401,,
38,88.11,0.2938,78.33,0.5167,,
39,88.21,0.2922,79.65,0.483,,
40,88.77,0.2835,82.13,0.3916,,
41,87.78,0.2956,80.4,0.469,,
42,88.38,0.2789,83.37,0.4082,,
43,88.85,0.2857,80.65,0.4305,,
44,88.34,0.2924,80.31,0.4398,,
45,88.44,0.2932,78.83,0.493,,
46,88.73,0.2843,83.54,0.4058,,
47,88.34,0.2837,81.97,0.4127,,
48,88.24,0.2933,80.07,0.4379,,
49,88.81,0.2886,82.46,0.3949,,
50,88.54,0.281,82.88,0.4011,85.88,
