Epoch,Train Accuracy (%),Train Loss,Val Accuracy (%),Val Loss,Test Accuracy (%),Test Loss
1,74.51,0.7026,75.85,0.6233,,
2,80.76,0.5114,78.25,0.5173,,
3,81.78,0.4479,77.5,0.5102,,
4,83.49,0.4091,81.22,0.4306,,
5,84.38,0.4011,78.91,0.469,,
6,83.67,0.3918,83.37,0.3905,,
7,85.24,0.3718,80.48,0.4643,,
8,84.64,0.3777,81.97,0.4089,,
9,85.16,0.3689,82.71,0.3762,,
10,86.27,0.3416,81.89,0.4208,,
11,84.83,0.3814,82.22,0.3945,,
12,85.8,0.3549,80.56,0.4216,,
13,86.5,0.3348,80.65,0.431,,
14,86.46,0.3511,83.04,0.3741,,
15,86.34,0.3464,79.98,0.4238,,
16,86.19,0.3446,84.12,0.3742,,
17,86.89,0.332,80.65,0.4216,,
18,86.3,0.3469,81.56,0.4079,,
19,87.53,0.3182,80.73,0.4313,,
20,87.45,0.3101,83.87,0.3784,,
21,87.33,0.3321,81.72,0.4095,,
22,87.04,0.3237,81.39,0.4113,,
23,87.29,0.3166,82.55,0.4068,,
24,86.96,0.3296,82.46,0.4103,,
25,87.43,0.3182,82.63,0.3833,,
26,87.31,0.3244,82.71,0.3962,,
27,87.49,0.3126,81.47,0.3914,,
28,86.91,0.3171,82.3,0.3979,,
29,87.91,0.3076,82.05,0.4133,,
30,87.97,0.3069,82.38,0.4044,,
31,87.74,0.3183,82.05,0.4139,,
32,87.24,0.3127,83.62,0.3781,,
33,86.77,0.3334,80.15,0.468,,
34,87.91,0.3031,80.65,0.4686,,
35,88.28,0.3,84.04,0.3775,,
36,87.8,0.3009,81.97,0.4043,,
37,88.01,0.2978,83.13,0.3795,,
38,87.72,0.3087,82.96,0.3788,,
39,87.93,0.3032,80.98,0.4146,,
40,87.39,0.3101,82.3,0.4055,,
41,87.74,0.2996,81.47,0.3943,,
42,88.24,0.2979,83.95,0.3638,,
43,87.99,0.3017,82.63,0.3988,,
44,88.07,0.3011,82.55,0.4086,,
45,88.09,0.2967,81.97,0.4119,,
46,87.8,0.3036,82.46,0.3849,,
47,87.7,0.3111,83.29,0.3894,,
48,87.97,0.2961,83.21,0.3702,,
49,88.59,0.2936,81.8,0.4084,,
50,88.48,0.2852,82.8,0.3483,84.94,
