Epoch,Train Accuracy (%),Train Loss,Val Accuracy (%),Val Loss,Test Accuracy (%),Test Loss
1,66.46,0.8698,52.36,1.1827,,
2,75.15,0.6395,54.26,0.9648,,
3,75.75,0.6003,69.56,0.7954,,
4,77.48,0.5597,67.08,0.9258,,
5,78.39,0.5385,65.43,1.0171,,
6,79.63,0.5252,70.64,0.6983,,
7,79.63,0.5194,72.21,0.7168,,
8,79.92,0.5113,71.3,0.648,,
9,79.59,0.5213,74.69,0.5247,,
10,80.27,0.4989,76.26,0.6108,,
11,80.23,0.5016,68.57,0.8949,,
12,80.25,0.5032,74.86,0.5745,,
13,81.16,0.4814,72.04,0.6231,,
14,81.42,0.4778,75.1,0.5933,,
15,81.09,0.4764,69.64,0.6269,,
16,81.01,0.4752,76.59,0.5308,,
17,81.14,0.4858,75.27,0.6519,,
18,81.55,0.4882,64.93,0.8742,,
19,81.42,0.4759,69.07,0.7498,,
20,81.73,0.4688,76.1,0.5539,,
21,81.36,0.4718,77.25,0.5282,,
22,81.38,0.4785,68.4,0.7066,,
23,82.13,0.4521,73.61,0.5928,,
24,81.51,0.4652,69.89,0.7054,,
25,81.75,0.4645,69.07,0.8387,,
26,82.0,0.4569,72.62,0.6553,,
27,82.58,0.449,75.77,0.5588,,
28,82.41,0.4439,75.35,0.6051,,
29,81.96,0.4517,65.67,0.9498,,
30,81.65,0.4591,74.94,0.5056,,
31,82.27,0.457,75.27,0.5535,,
32,82.37,0.4434,68.49,0.7586,,
33,82.56,0.4363,61.37,1.0835,,
34,81.98,0.4609,75.93,0.5815,,
35,82.91,0.446,75.52,0.5762,,
36,82.72,0.4479,69.89,0.7323,,
37,82.08,0.4421,76.59,0.4856,,
38,82.15,0.4493,75.27,0.5312,,
39,81.88,0.4538,73.61,0.6215,,
40,81.8,0.4525,68.4,0.8242,,
41,82.68,0.4416,71.46,0.7216,,
42,82.68,0.438,74.77,0.5882,,
43,82.46,0.4453,69.64,0.7438,,
44,82.85,0.4381,62.28,1.0475,,
45,81.9,0.4478,75.93,0.5473,,
46,82.6,0.4436,76.34,0.5038,,
47,82.75,0.439,71.46,0.7327,,
48,82.08,0.4494,70.14,0.7008,,
49,82.66,0.4332,73.78,0.6236,,
50,82.39,0.4531,68.73,0.8273,75.31,
